Verse,Title,Type,URL,Publish_Date,Schema,Meta_Title,Meta_Desc,Interlink strategy
Techverse,"AI Automation Checklist",Checklist,/techverse/ai-automation-checklist.html,2025-03-01,HowTo,"AI Automation Checklist for Tech Teams","Step-by-step automation checklist for Ops teams.","Link to ai-tools + focus timer."
Techverse,"Prompt Ops Playbook",Playbook,/techverse/prompt-ops-playbook.html,2025-03-02,FAQ,"Prompt Ops Playbook","Governance for stored prompts and reviews.","Link to ai-tools + notion templates."
Techverse,"Browser Workspace Setup",Guide,/techverse/browser-workspace-setup.html,2025-03-03,Article,"Browser Workspace Setup for Builders","Chrome profiles, extensions, and sync tips.","Link to chrome-extensions + image resizer."
Techverse,"Research Sprint System",System,/techverse/research-sprint-system.html,2025-03-04,Article,"Research Sprint System","Structure 3-day research loops.","Link to ai-tools + techverse hub."
Techverse,"Creator Studio Stack",Best Of,/techverse/creator-studio-stack.html,2025-03-05,FAQ,"Creator Studio Stack 2025","Hardware + software picks for creators.","Link to image resizer + chrome extensions."
Techverse,"One-Day Landing Page",HowTo,/techverse/one-day-landing-page.html,2025-03-06,HowTo,"Launch a Landing Page in One Day","Template-driven landing workflow.","Link to canva-vs-figma + notion templates."
Techverse,"Notion CRM Template",Template,/techverse/notion-crm-template.html,2025-03-07,Article,"Notion CRM Template for Solo Teams","Fields and automations for CRM board.","Link to notion templates + focus timer."
Techverse,"AI QA Framework",Guide,/techverse/ai-qa-framework.html,2025-03-08,FAQ,"AI QA Framework","Testing loops for AI generated work.","Link to ai-tools + chrome extensions."
Techverse,"Automation API Glossary",Glossary,/techverse/automation-api-glossary.html,2025-03-09,Article,"Automation API Glossary","Key APIs for makers with quick usage.","Link to research sprint + ai tools."
Techverse,"Content Remix Machine",HowTo,/techverse/content-remix-machine.html,2025-03-10,HowTo,"Content Remix Machine","Repurpose long-form to shorts fast.","Link to text cleaner + image resizer."
Techverse,"Docs-to-Site Workflow",Guide,/techverse/docs-to-site-workflow.html,2025-03-11,Article,"Docs to Site Workflow","Publish docs to static site pipeline.","Link to techverse hub + ai automation."
Techverse,"Makers' Hardware Kit",Best Of,/techverse/makers-hardware-kit.html,2025-03-12,FAQ,"Hardware Kit for Makers 2025","Laptop, mic, lighting suggestions.","Link to creator studio + skillverse resume."
Techverse,"Chrome Keyboard Almanac",Guide,/techverse/chrome-keyboard-almanac.html,2025-03-13,Article,"Chrome Keyboard Shortcuts Almanac","Shortcuts grouped by workflow.","Link to chrome extensions + focus timer."
Techverse,"Idea Validation Canvas",Template,/techverse/idea-validation-canvas.html,2025-03-14,Article,"Idea Validation Canvas","One-pager for experiments.","Link to side-hustle sprint + mentor OS."
Techverse,"Video Snippet Pipeline",HowTo,/techverse/video-snippet-pipeline.html,2025-03-15,HowTo,"Create Video Snippets Fast","FFmpeg + Descript workflow.","Link to image resizer + content remix."
Finverse,"Emergency Fund Ladder",HowTo,/finverse/emergency-fund-ladder.html,2025-03-16,HowTo,"Build an Emergency Fund Ladder","Tiered buffers for 3/6/12 months.","Link to beginners budgeting + cash-flow ladder."
Finverse,"Debt Avalanche Planner",Guide,/finverse/debt-avalanche-planner.html,2025-03-17,FAQ,"Debt Avalanche Planner","Prioritize repayments with automation.","Link to budgeting + sip vs rd."
Finverse,"Family Money Meeting",Checklist,/finverse/family-money-meeting.html,2025-03-18,HowTo,"Family Money Meeting Agenda","45-min format for households.","Link to budgeting + healthverse resets."
Finverse,"SaaS Expense Review",Checklist,/finverse/saas-expense-review.html,2025-03-19,Article,"SaaS Expense Review Checklist","Trim subscriptions quarterly.","Link to cash-flow ladder + techverse automation."
Finverse,"Fire Calculator India",Tool,/finverse/fire-calculator-india.html,2025-03-20,FAQ,"FIRE Calculator for India","Targets for financial independence.","Link to SIP vs RD vs FD + skillverse pricing."
Finverse,"Angel Investing Starter",Guide,/finverse/angel-investing-starter.html,2025-03-21,FAQ,"Angel Investing Starter Kit","Checklist for first syndicate deals.","Link to side-hustle sprint + mentor OS."
Finverse,"Money OS in Notion",Template,/finverse/money-os-notion.html,2025-03-22,Article,"Money OS Notion Template","Databases for accounts, goals, loans.","Link to notion templates + budgeting."
